gain,band,linear_peak,linear_rms,peak_dbfs,rms_dbfs,crest_factor_db
0.25,Full Spectrum,1.0,0.39763988674957984,-12.95634986787025,-20.96655103915896,8.01020117128871
0.25,62.500,0.6010343554498166,0.3545561482606343,-17.37836392346132,-21.96264945273032,4.584285529269004
0.25,1000.000,0.2804871157927395,0.16546310590519658,-23.998091534182144,-28.582326423823588,4.584234889641446
0.5,Full Spectrum,1.0,0.39763988674957984,-6.935749954590626,-14.945951125879338,8.01020117128871
0.5,62.500,0.6010343554498166,0.3545561482606343,-11.357764010181693,-15.942049539450698,4.584285529269004
0.5,1000.000,0.2804871157927395,0.16546310590519658,-17.97749162090252,-22.561726510543963,4.584234889641446
1.0,Full Spectrum,1.0,0.39763988674957984,-0.9151500413110016,-8.925351212599713,8.01020117128871
1.0,62.500,0.6010343554498166,0.3545561482606343,-5.337164096902068,-9.921449626171073,4.584285529269004
1.0,1000.000,0.2804871157927395,0.16546310590519658,-11.956891707622896,-16.54112659726434,4.584234889641446
